Risk Title,Risk Statement/Description,Risk Level (Inherent),Primary Control Type,Primary Control Description,Secondary Control Type,Secondary Control Description
Mobile Device Security Gap,"Risk of data exposure through lost, stolen, or inadequately secured mobile devices used for agency business.",Medium,Preventive,Endpoint detection and response agents deployed on all agency workstations and servers with centralized management.,Corrective,Security incident lessons learned reviews with system hardening updates based on identified attack vectors.
Payroll Processing Errors,"Risk of incorrect salary calculations, missed deductions, or erroneous benefit payments to employees.",High,Preventive,Automated budget threshold monitoring with real-time alerts when spending reaches 80% and 95% of allocated amounts.,Corrective,Formal corrective action process for employees found to have violated financial management policies.
Legacy System Failure,"Risk of outdated technology systems failing due to lack of vendor support, patches, or compatible hardware.",Medium,Preventive,Data encryption at rest and in transit using FIPS 140-2 validated cryptographic modules for all sensitive data.,Detective,Dark web monitoring for leaked agency credentials or data with immediate password reset procedures.
Insufficient Competition,Risk of limited vendor competition resulting in higher costs and reduced quality of services.,High,Detective,Data analytics applied to procurement data to identify patterns indicative of bid rigging or collusion.,Detective,Quarterly contract status reporting to management highlighting expiring contracts and renewal timelines.
Debarment Process Failure,Risk of inadequate processes for suspending or debarring contractors with integrity issues.,High,Preventive,Congressional correspondence tracking with assigned response deadlines and management review before submission.,Preventive,Tribal consultation protocols ensuring government-to-government engagement on regulatory actions affecting tribal interests.
Records Retention Violation,Risk of improper destruction or failure to retain records in accordance with approved retention schedules.,High,Detective,Annual data inventory review to verify classification levels and protection measures are appropriate.,Corrective,"Data correction procedures with audit trail documenting original values, corrections, and authorizing officials."
Stakeholder Engagement Failure,"Risk of inadequate engagement with stakeholders leading to opposition, misunderstanding, or lack of support.",High,Detective,Annual program evaluation using logic models and outcome measurement frameworks to assess effectiveness.,Detective,Independent program reviews conducted by cross-functional teams assessing program health and risk exposure.
Insider Threat - IT,Risk of authorized users intentionally or accidentally compromising IT systems or data integrity.,Low,Preventive,Data encryption at rest and in transit using FIPS 140-2 validated cryptographic modules for all sensitive data.,Detective,Dark web monitoring for leaked agency credentials or data with immediate password reset procedures.
Imprest Fund Mismanagement,Risk of loss or misuse of petty cash or imprest funds maintained at field offices.,Medium,Preventive,Automated budget threshold monitoring with real-time alerts when spending reaches 80% and 95% of allocated amounts.,Corrective,Formal corrective action process for employees found to have violated financial management policies.
Small Business Goal Shortfall,Risk of not meeting mandated small business and disadvantaged business subcontracting targets.,Medium,Detective,"Post-award contract compliance reviews verifying deliverables, invoices, and performance against contract terms.",Corrective,Claims and disputes resolution process providing timely adjudication of contractor claims and protests.
Succession Planning Failure,"Risk of inadequate planning for leadership transitions, creating management gaps during turnover.",Medium,Preventive,Background investigation and credential verification process completed before onboarding new employees.,Preventive,"Onboarding program with structured orientation, required training completion tracking, and first-year check-ins."
Emission Standard Exceedance,"Risk that industrial facilities exceed established air emission limits, degrading air quality.",Medium,Detective,Continuous emission monitoring systems with automated reporting and threshold exceedance notifications.,Corrective,Emergency response cleanup coordination with responsible parties and federal on-scene coordinators.
Database Integrity Compromise,Risk of unauthorized modification or corruption of database records affecting data reliability.,High,Preventive,Data encryption at rest and in transit using FIPS 140-2 validated cryptographic modules for all sensitive data.,Detective,Dark web monitoring for leaked agency credentials or data with immediate password reset procedures.
Inspection Coverage Gap,Risk that insufficient inspection frequency allows non-compliant facilities to operate undetected.,Low,Preventive,Compliance assistance programs providing technical guidance and self-audit protocols to regulated facilities.,Preventive,Technical assistance workshops for small businesses and municipalities on meeting environmental requirements.
API Security Weakness,Risk of application programming interfaces being exploited due to inadequate authentication or input validation.,High,Detective,Continuous monitoring of network traffic using intrusion detection systems with automated alerting for anomalous activity.,Corrective,Backup and recovery testing performed quarterly with documented recovery time and data integrity verification.
Controlled Substance Security,Risk of theft or diversion of controlled substances maintained in agency research facilities.,Medium,Corrective,Workers compensation case management program ensuring injured employees receive proper medical care and return-to-work support.,Preventive,Threat assessment protocols for evaluating reported threats to facilities or personnel.
Rulemaking Process Deficiency,Risk of procedural errors during rulemaking that could result in rules being legally challenged or invalidated.,Medium,Preventive,Consent decree compliance monitoring with dedicated staff and periodic self-assessments of obligation fulfillment.,Detective,Legal risk assessment quarterly briefings to senior management on significant pending cases and regulatory challenges.
Cost Allocation Errors,"Risk of incorrect allocation of shared costs across programs, leading to misrepresentation of program expenses.",Low,Preventive,"Segregation of duties requiring dual authorization for all fund transfers exceeding $10,000 with documented approval chains.",Detective,Independent periodic testing of key financial controls by internal audit or quality assurance staff.
Waste Disposal Non-Compliance,Risk of agency-generated waste not being disposed of in accordance with applicable regulations.,High,Detective,Annual physical inventory counts reconciled with system records and discrepancies investigated and resolved.,Corrective,Surplus property redistribution program redirecting excess items to offices with needs before disposal.
Contaminated Site Oversight,Risk of inadequate monitoring of contaminated sites leading to undetected spread of pollutants.,High,Preventive,Mandatory environmental impact assessment before approving permits for new facilities in sensitive areas.,Detective,Citizen complaint tracking system with investigation protocols and response time standards for reported violations.
Settlement Agreement Default,"Risk of parties defaulting on settlement agreement terms, requiring renewed enforcement action.",Medium,Corrective,Alternative dispute resolution program offering mediation and negotiation before formal adjudication.,,
Program Income Mismanagement,Risk of grant recipients failing to properly account for and use income generated by grant-funded activities.,Medium,Detective,On-site monitoring visits to high-risk grant recipients with documented findings and follow-up actions.,Detective,Cross-referencing grant applications against debarment and exclusion databases before award.
Critical Spare Parts Shortage,Risk of unavailability of replacement parts for specialized equipment causing extended downtime.,Low,Detective,Utility consumption monitoring with benchmarking against federal energy efficiency targets and trending analysis.,Detective,"Vendor performance scorecards tracking delivery timeliness, quality, and responsiveness with quarterly reviews."
Supply Chain Disruption,"Risk of disruption in the supply of critical materials, equipment, or services needed for agency operations.",High,Corrective,Corrective maintenance priority system ensuring critical equipment failures are addressed within defined response times.,Preventive,Strategic sourcing initiatives establishing blanket purchase agreements for frequently needed materials and services.
Cost Share Non-Compliance,Risk of grant recipients failing to provide their required matching funds or cost share contributions.,Medium,Corrective,Grant recipient corrective action plans with milestone tracking for resolving compliance deficiencies.,Corrective,Voluntary cost disallowance process allowing recipients to return questioned costs before formal audit findings.
Analytics Bias,Risk of biased data or analytical methods leading to flawed conclusions and inequitable policy decisions.,Critical,Preventive,Privacy impact assessments required before implementing new data collections or system changes involving PII.,,
Strategic Plan Misalignment,Risk of program activities not aligning with the agency's strategic plan goals and objectives.,Medium,Preventive,Stakeholder engagement plans developed during project initiation with regular feedback mechanisms and communication schedules.,Preventive,Portfolio management framework balancing resource allocation across competing program priorities.
Congressional Mandate Non-Compliance,Risk of failing to comply with specific legislative mandates or reporting requirements imposed by Congress.,Medium,Preventive,"Legal sufficiency review required for all proposed enforcement actions, settlements, and regulatory interpretations.",Detective,"Compliance tracking database monitoring agency adherence to consent decrees, court orders, and settlement terms."
Organizational Conflict of Interest,Risk of contractors having conflicting interests that could bias their work or recommendations.,High,Detective,Data analytics applied to procurement data to identify patterns indicative of bid rigging or collusion.,,
Data Lineage Documentation Gap,"Risk of insufficient documentation of data origins and transformations, reducing trust in analytical outputs.",High,Preventive,Privacy impact assessments required before implementing new data collections or system changes involving PII.,Detective,Automated records retention monitoring with alerts for records approaching disposition dates.
Air Monitoring Network Gap,Risk of insufficient air quality monitoring stations leading to undetected pollution in populated areas.,Medium,Preventive,Compliance assistance programs providing technical guidance and self-audit protocols to regulated facilities.,Preventive,Technical assistance workshops for small businesses and municipalities on meeting environmental requirements.
Indirect Cost Rate Dispute,Risk of disagreements over negotiated indirect cost rates leading to audit findings or payment delays.,Medium,Detective,Quarterly financial and performance report review with desk audits and follow-up on identified discrepancies.,Corrective,Grant suspension and termination procedures for recipients with unresolved compliance deficiencies.
Performance Management Inconsistency,"Risk of inconsistent application of performance standards across offices, creating equity concerns.",High,Preventive,Mandatory anti-harassment training for all employees with annual refresher courses and manager-specific modules.,Detective,Time and attendance audit program verifying leave usage patterns and identifying potential abuse.
Equipment Disposition Non-Compliance,Risk of grant recipients failing to properly account for or dispose of equipment purchased with grant funds.,High,Detective,On-site monitoring visits to high-risk grant recipients with documented findings and follow-up actions.,Detective,Cross-referencing grant applications against debarment and exclusion databases before award.
Fire Safety Non-Compliance,"Risk of agency facilities not meeting fire safety codes, endangering occupants.",High,Detective,Video surveillance systems monitored at security operations centers covering facility perimeters and sensitive areas.,Corrective,Hazard abatement tracking system ensuring identified safety hazards are corrected within established timeframes.
Invoice Verification Failure,Risk of paying contractor invoices without adequate verification of work performed or deliverables received.,Medium,Preventive,Procurement integrity briefings required for all evaluation panel members before accessing proposals.,Detective,Random sampling of micro-purchase transactions for compliance with simplified acquisition procedures.
Hazardous Waste Mishandling,"Risk of improper storage, transport, or disposal of hazardous waste materials by regulated entities.",Medium,Corrective,Supplemental environmental project agreements requiring violators to fund environmental improvements in affected communities.,Preventive,Interagency coordination protocols with state environmental agencies for shared enforcement and compliance assistance.
Cross-System Data Mismatch,Risk of the same data element having different values across integrated systems due to sync failures.,Medium,Corrective,"Data breach response procedures with notification timelines, affected party communication, and remediation steps.",Corrective,Data quality improvement projects targeting specific data elements with highest error rates.
Database Integrity Compromise,Risk of unauthorized modification or corruption of database records affecting data reliability.,High,Preventive,Endpoint detection and response agents deployed on all agency workstations and servers with centralized management.,Corrective,Security incident lessons learned reviews with system hardening updates based on identified attack vectors.
Quality Assurance Breakdown,Risk of inadequate quality checks allowing deficient work products to be accepted and used.,Low,Corrective,Corrective action plans developed for programs not meeting performance targets with milestone tracking.,Preventive,"Requirements management process ensuring changes are documented, evaluated, and approved before implementation."
Ethics Program Weakness,Risk of inadequate ethics training and guidance leading to employee ethics violations.,Medium,Detective,OIG recommendation tracking system with quarterly status updates and escalation for overdue corrective actions.,Detective,Anti-Deficiency Act monitoring reports tracking obligation and expenditure rates against available appropriations.
Project Schedule Delay,"Risk of projects exceeding planned timelines, delaying delivery of program outcomes and benefits.",High,Detective,Quarterly performance metric validation comparing reported results against source data and independent verification.,Detective,Data-driven decision dashboards providing leadership visibility into program performance across the agency.
Phishing Attack,Risk of employees falling victim to fraudulent emails designed to steal credentials or install malware.,Low,Detective,Security information and event management system aggregating logs from all systems for real-time threat analysis.,Preventive,Removable media controls blocking unauthorized USB devices and requiring encryption for approved devices.
Tribal Grant Administration Gap,Risk of unique challenges in administering grants to tribal nations not being adequately addressed.,Medium,Preventive,Subrecipient monitoring requirements included in grant agreements with pass-through entity responsibilities defined.,Preventive,"Equipment management clauses in grant agreements specifying tracking, use, and disposition requirements."
